cidade,long,lat,alt,uf
SALINAS DA MARGARIDA,-38.75794395,-12.87799705,6.847528,BAHIA
VERA CRUZ,-38.61915975,-12.93573333,5.917533,BAHIA
ITAPARICA,-38.68403031,-12.88148905,3.670131,BAHIA
MADRE DE DEUS,-38.60276857,-12.74031265,6.283758,BAHIA
SAUBARA,-38.77060683,-12.73690362,33.967305,BAHIA
SANTO AMARO,-38.70903146,-12.54914011,7.014473,BAHIA
SÃO FRANCISCO DO CONDE,-38.67579805,-12.6299828,28.758577,BAHIA
CANDEIAS,-38.54359627,-12.6719227,110.386656,BAHIA
SALVADOR,-38.48806148,-13.01477191,5.87215,BAHIA
SIMÕES FILHO,-38.41151919,-12.78394148,43.36059,BAHIA
LAURO DE FREITAS,-38.32346161,-12.89671761,18.151315,BAHIA
SÃO SEBASTIÃO DO PASSÉ,-38.49530985,-12.51272464,56.117859,BAHIA
CAMAÇARI,-38.32574006,-12.69881676,33.535142,BAHIA
DIAS D'ÁVILA,-38.29799359,-12.60436842,34.934509,BAHIA
MATA DE SÃO JOÃO,-38.29729932,-12.52997079,34,BAHIA
AMÉLIA RODRIGUES,-38.75555692,-12.4001884,203.610518,BAHIA
CONCEIÇÃO DO JACUÍPE,-38.76367372,-12.32294646,205.126237,BAHIA
CORAÇÃO DE MARIA,-38.75051655,-12.24792101,236.875556,BAHIA
TERRA NOVA,-38.62310186,-12.4030919,93.795924,BAHIA
TEODORO SAMPAIO,-38.64192754,-12.30140716,114.375884,BAHIA
PEDRÃO,-38.64900142,-12.1435872,195.340963,BAHIA
IRARÁ,-38.77165078,-12.03370396,245.991496,BAHIA
ÁGUA FRIA,-38.7680778,-11.872931,299.885981,BAHIA
OURIÇANGAS,-38.62841677,-12.00685192,297.843236,BAHIA
CATU,-38.3762943,-12.35518656,101.342039,BAHIA
ALAGOINHAS,-38.42261577,-12.13418259,141.137056,BAHIA
POJUCA,-38.32716688,-12.42926313,58.345717,BAHIA
ARAMARI,-38.50306635,-12.08818298,216.236011,BAHIA
ARAÇAS,-38.19828802,-12.21519967,70.622276,BAHIA
ITANAGRA,-38.03818094,-12.26816314,42.519104,BAHIA
ENTRE RIOS,-38.07877702,-11.93726137,109.325933,BAHIA
CARDEAL DA SILVA,-37.94547658,-11.94076741,62.451149,BAHIA
PINTADAS,-39.90823863,-11.80803651,287.011709,BAHIA
CAPELA DO ALTO ALEGRE,-39.83535531,-11.67008164,393.677459,BAHIA
QUIXABEIRA,-40.12149659,-11.4086852,433.412917,BAHIA
SÃO JOSÉ DO JACUÍPE,-40.02365588,-11.50532609,356.422426,BAHIA
CAPIM GROSSO,-40.01100061,-11.38157446,418.669268,BAHIA
NOVA FÁTIMA,-39.63221709,-11.60839839,299.063348,BAHIA
GAVIÃO,-39.78611293,-11.47089546,299.958116,BAHIA
SÃO DOMINGOS,-39.52626477,-11.46346613,298.663169,BAHIA
ITIÚBA,-39.85327697,-10.69190123,378.875956,BAHIA
QUEIMADAS,-39.62640683,-10.97639053,283.298156,BAHIA
CANSANÇÃO,-39.49660501,-10.66674991,397.14403,BAHIA
RIACHÃO DO JACUÍPE,-39.38303549,-11.80597903,223.714815,BAHIA
ICHU,-39.18871631,-11.75524987,286.757399,BAHIA
CONCEIÇÃO DO COITÉ,-39.28168418,-11.56182585,421.784086,BAHIA
RETIROLÂNDIA,-39.42417779,-11.48966698,319.690089,BAHIA
VALENTE,-39.46424607,-11.41248954,350.685572,BAHIA
SANTALUZ,-39.3773778,-11.25336003,356.573248,BAHIA
CANDEAL,-39.1237185,-11.80497023,245.417244,BAHIA
BARROCAS,-39.07866888,-11.52911285,379.547004,BAHIA
